# Species	Genes	Alg.-Conn.	Ht-clean.faa	Pb-clean.faa	Pc-clean.faa	Pf-clean.faa	Pk-clean.faa	Pv-clean.faa	Py-clean.faa	Tg-clean.faa
8	10	0.189	932_g_Ht	3894_g_Pb,1400_g_Pb	994_g_Pc	279_g_Pf	1026_g_Pk	978_g_Pv	360_g_Py	11193_g_Tg,11990_g_Tg
8	10	0.186	2939_g_Ht	3242_g_Pb,3183_g_Pb	2171_g_Pc	2154_g_Pf	2227_g_Pk	2128_g_Pv	1221_g_Py	10593_g_Tg,11390_g_Tg
8	10	0.185	1535_g_Ht	5430_g_Pb,3291_g_Pb	4268_g_Pc	3863_g_Pf	4385_g_Pk	4278_g_Pv	2936_g_Py	6050_g_Tg,6202_g_Tg
8	10	0.1	520_g_Ht	974_g_Pb	2220_g_Pc	2207_g_Pf	2280_g_Pk	2177_g_Pv	1272_g_Py	12780_g_Tg,10931_g_Tg,11728_g_Tg
8	9	0.778	1020_g_Ht	6620_g_Pb	4439_g_Pc	2595_g_Pf	4544_g_Pk	4443_g_Pv	4013_g_Py	979_g_Tg,1796_g_Tg
8	9	0.778	1024_g_Ht	1937_g_Pb	614_g_Pc	3559_g_Pf	631_g_Pk	588_g_Pv	4316_g_Py	9934_g_Tg,12589_g_Tg
8	9	0.778	1052_g_Ht	1120_g_Pb	2263_g_Pc	2250_g_Pf	2326_g_Pk	2223_g_Pv	1316_g_Py	9270_g_Tg,13398_g_Tg
8	9	0.778	1072_g_Ht	3435_g_Pb	3186_g_Pc	4804_g_Pf	3258_g_Pk	3163_g_Pv	4131_g_Py	10150_g_Tg,12371_g_Tg
8	9	0.778	1085_g_Ht	147_g_Pb	1033_g_Pc	242_g_Pf	1067_g_Pk	1015_g_Pv	397_g_Py	3847_g_Tg,8627_g_Tg
8	9	0.778	1093_g_Ht	3272_g_Pb	1705_g_Pc	1471_g_Pf	1760_g_Pk	1676_g_Pv	2565_g_Py	10869_g_Tg,11666_g_Tg
8	9	0.778	1094_g_Ht	3271_g_Pb	1704_g_Pc	1472_g_Pf	1759_g_Pk	1675_g_Pv	2566_g_Py	4999_g_Tg,5471_g_Tg
8	9	0.778	1096_g_Ht	1124_g_Pb	2363_g_Pc	2352_g_Pf	2428_g_Pk	2323_g_Pv	1413_g_Py	6821_g_Tg,8092_g_Tg
8	9	0.778	1104_g_Ht	497_g_Pb	348_g_Pc	635_g_Pf	352_g_Pk	336_g_Pv	1767_g_Py	6113_g_Tg,6140_g_Tg
8	9	0.778	1131_g_Ht	4121_g_Pb	1740_g_Pc	1435_g_Pf	1783_g_Pk	1711_g_Pv	2532_g_Py	2918_g_Tg,3599_g_Tg
8	9	0.778	1139_g_Ht	1885_g_Pb	4341_g_Pc	3791_g_Pf	4447_g_Pk	4351_g_Pv	2865_g_Py	4758_g_Tg,5230_g_Tg
8	9	0.778	1142_g_Ht	2155_g_Pb	1397_g_Pc	1644_g_Pf	1442_g_Pk	1372_g_Pv	4807_g_Py	1902_g_Tg,2360_g_Tg
8	9	0.778	1179_g_Ht	2917_g_Pb	2657_g_Pc	716_g_Pf	2732_g_Pk	2634_g_Pv	743_g_Py	9116_g_Tg,13549_g_Tg
8	9	0.778	1187_g_Ht	1835_g_Pb	4542_g_Pc	2703_g_Pf	4654_g_Pk	4551_g_Pv	3911_g_Py	10966_g_Tg,11763_g_Tg
8	9	0.778	1190_g_Ht	6975_g_Pb	3440_g_Pc	5129_g_Pf	3516_g_Pk	3435_g_Pv	4585_g_Py	10775_g_Tg,11572_g_Tg
8	9	0.778	1195_g_Ht	3664_g_Pb	63_g_Pc	4678_g_Pf	71_g_Pk	58_g_Pv	872_g_Py	4510_g_Tg,8525_g_Tg
8	9	0.778	1202_g_Ht	3132_g_Pb	959_g_Pc	314_g_Pf	991_g_Pk	944_g_Pv	326_g_Py	405_g_Tg,769_g_Tg
8	9	0.778	1203_g_Ht	1821_g_Pb	960_g_Pc	313_g_Pf	992_g_Pk	945_g_Pv	327_g_Py	1988_g_Tg,2272_g_Tg
8	9	0.778	1221_g_Ht	2636_g_Pb	2063_g_Pc	187_g_Pf	2107_g_Pk	2022_g_Pv	1115_g_Py	2540_g_Tg,3221_g_Tg
8	9	0.778	1228_g_Ht	1451_g_Pb	4661_g_Pc	2814_g_Pf	4770_g_Pk	4660_g_Pv	3798_g_Py	2028_g_Tg,2231_g_Tg
8	9	0.778	1232_g_Ht	796_g_Pb	3850_g_Pc	4089_g_Pf	3931_g_Pk	3841_g_Pv	2218_g_Py	1013_g_Tg,1830_g_Tg
8	9	0.778	123_g_Ht	4145_g_Pb	595_g_Pc	3577_g_Pf	612_g_Pk	570_g_Pv	4297_g_Py	10785_g_Tg,11582_g_Tg
8	9	0.778	1247_g_Ht	944_g_Pb	2979_g_Pc	1160_g_Pf	3048_g_Pk	2933_g_Pv	3403_g_Py	4581_g_Tg,8596_g_Tg
8	9	0.778	1261_g_Ht	1325_g_Pb	810_g_Pc	463_g_Pf	846_g_Pk	795_g_Pv	196_g_Py	6677_g_Tg,5571_g_Tg
8	9	0.778	1269_g_Ht	645_g_Pb	559_g_Pc	3613_g_Pf	575_g_Pk	536_g_Pv	1570_g_Py	2642_g_Tg,3323_g_Tg
8	9	0.778	1278_g_Ht	6383_g_Pb	4233_g_Pc	3896_g_Pf	4341_g_Pk	4242_g_Pv	664_g_Py	4939_g_Tg,5411_g_Tg
8	9	0.778	127_g_Ht	6774_g_Pb	4502_g_Pc	2661_g_Pf	4614_g_Pk	4509_g_Pv	3948_g_Py	9358_g_Tg,13311_g_Tg
8	9	0.778	1288_g_Ht	1005_g_Pb	3924_g_Pc	4165_g_Pf	4008_g_Pk	3920_g_Pv	2140_g_Py	9865_g_Tg,12658_g_Tg
8	9	0.778	128_g_Ht	3510_g_Pb	4501_g_Pc	2660_g_Pf	4613_g_Pk	4508_g_Pv	3949_g_Py	1242_g_Tg,1396_g_Tg
8	9	0.778	1294_g_Ht	3654_g_Pb	1905_g_Pc	31_g_Pf	1940_g_Pk	1868_g_Pv	965_g_Py	4250_g_Tg,8355_g_Tg
8	9	0.778	1321_g_Ht	932_g_Pb	445_g_Pc	543_g_Pf	455_g_Pk	428_g_Pv	1679_g_Py	7103_g_Tg,7813_g_Tg
8	9	0.778	1414_g_Ht	6647_g_Pb	3513_g_Pc	3163_g_Pf	3588_g_Pk	3519_g_Pv	1849_g_Py	5972_g_Tg,6280_g_Tg
8	9	0.778	1424_g_Ht	1265_g_Pb	2383_g_Pc	2369_g_Pf	2455_g_Pk	2340_g_Pv	1430_g_Py	6757_g_Tg,8154_g_Tg
8	9	0.778	1436_g_Ht	986_g_Pb	1989_g_Pc	114_g_Pf	2025_g_Pk	1948_g_Pv	1046_g_Py	11275_g_Tg,12072_g_Tg
8	9	0.778	1437_g_Ht	985_g_Pb	1988_g_Pc	113_g_Pf	2024_g_Pk	1947_g_Pv	1045_g_Py	2851_g_Tg,3532_g_Tg
8	9	0.778	1456_g_Ht	3936_g_Pb	178_g_Pc	4565_g_Pf	190_g_Pk	173_g_Pv	4356_g_Py	9790_g_Tg,12734_g_Tg
8	9	0.778	1471_g_Ht	1335_g_Pb	4160_g_Pc	3121_g_Pf	4257_g_Pk	4175_g_Pv	3605_g_Py	6793_g_Tg,8120_g_Tg
8	9	0.778	1477_g_Ht	385_g_Pb	3897_g_Pc	4137_g_Pf	3978_g_Pk	3891_g_Pv	2169_g_Py	6962_g_Tg,7950_g_Tg
8	9	0.778	1480_g_Ht	2602_g_Pb	531_g_Pc	3639_g_Pf	546_g_Pk	510_g_Pv	1595_g_Py	6072_g_Tg,6180_g_Tg
8	9	0.778	148_g_Ht	1269_g_Pb	1219_g_Pc	1816_g_Pf	1265_g_Pk	1201_g_Pv	585_g_Py	4577_g_Tg,8592_g_Tg
8	9	0.778	1545_g_Ht	3164_g_Pb	745_g_Pc	3425_g_Pf	781_g_Pk	721_g_Pv	50_g_Py	2090_g_Tg,2171_g_Tg
8	9	0.778	1553_g_Ht	3574_g_Pb	2146_g_Pc	773_g_Pf	2197_g_Pk	2103_g_Pv	1197_g_Py	9166_g_Tg,13500_g_Tg
8	9	0.778	1579_g_Ht	2516_g_Pb	3429_g_Pc	5119_g_Pf	3506_g_Pk	3425_g_Pv	4574_g_Py	11021_g_Tg,11818_g_Tg
8	9	0.778	1585_g_Ht	3055_g_Pb	4787_g_Pc	2933_g_Pf	4896_g_Pk	4784_g_Pv	3684_g_Py	946_g_Tg,1763_g_Tg
8	9	0.778	15_g_Ht	3639_g_Pb	4812_g_Pc	2956_g_Pf	4919_g_Pk	4805_g_Pv	3661_g_Py	562_g_Tg,611_g_Tg
8	9	0.778	1605_g_Ht	6847_g_Pb	491_g_Pc	3680_g_Pf	502_g_Pk	471_g_Pv	1634_g_Py	10112_g_Tg,12409_g_Tg
8	9	0.778	1645_g_Ht	3683_g_Pb	2277_g_Pc	2265_g_Pf	2343_g_Pk	2238_g_Pv	1330_g_Py	2880_g_Tg,3561_g_Tg
8	9	0.778	1691_g_Ht	148_g_Pb	1034_g_Pc	241_g_Pf	1068_g_Pk	1016_g_Pv	398_g_Py	6919_g_Tg,7993_g_Tg
8	9	0.778	1701_g_Ht	3544_g_Pb	3482_g_Pc	5173_g_Pf	3561_g_Pk	3476_g_Pv	2998_g_Py	4667_g_Tg,5139_g_Tg
8	9	0.778	1704_g_Ht	132_g_Pb	471_g_Pc	518_g_Pf	484_g_Pk	453_g_Pv	1655_g_Py	10591_g_Tg,11388_g_Tg
8	9	0.778	1740_g_Ht	6797_g_Pb	3588_g_Pc	3241_g_Pf	3672_g_Pk	3700_g_Pv	3138_g_Py	6848_g_Tg,8066_g_Tg
8	9	0.778	177_g_Ht	554_g_Pb	1251_g_Pc	1789_g_Pf	1297_g_Pk	1230_g_Pv	4666_g_Py	10576_g_Tg,11373_g_Tg
8	9	0.778	1786_g_Ht	3420_g_Pb	3564_g_Pc	3217_g_Pf	3645_g_Pk	3724_g_Pv	3164_g_Py	7380_g_Tg,7538_g_Tg
8	9	0.778	1806_g_Ht	1891_g_Pb	206_g_Pc	4541_g_Pf	219_g_Pk	196_g_Pv	4380_g_Py	11162_g_Tg,11959_g_Tg
8	9	0.778	1809_g_Ht	6866_g_Pb	4239_g_Pc	3890_g_Pf	4348_g_Pk	4249_g_Pv	670_g_Py	10652_g_Tg,11449_g_Tg
8	9	0.778	1838_g_Ht	2036_g_Pb	1295_g_Pc	1746_g_Pf	1340_g_Pk	1275_g_Pv	4709_g_Py	10121_g_Tg,12400_g_Tg
8	9	0.778	1911_g_Ht	899_g_Pb	1540_g_Pc	1632_g_Pf	1591_g_Pk	1519_g_Pv	3346_g_Py	9994_g_Tg,12526_g_Tg
8	9	0.778	1916_g_Ht	1163_g_Pb	3799_g_Pc	4037_g_Pf	3879_g_Pk	3794_g_Pv	2269_g_Py	4089_g_Tg,8869_g_Tg
8	9	0.778	1922_g_Ht	4287_g_Pb	399_g_Pc	583_g_Pf	410_g_Pk	388_g_Pv	1716_g_Py	4030_g_Tg,8810_g_Tg
8	9	0.778	1923_g_Ht	1167_g_Pb	4068_g_Pc	3038_g_Pf	4160_g_Pk	4087_g_Pv	3517_g_Py	9387_g_Tg,13282_g_Tg
8	9	0.778	1977_g_Ht	7232_g_Pb	75_g_Pc	4667_g_Pf	83_g_Pk	70_g_Pv	861_g_Py	6715_g_Tg,8194_g_Tg
8	9	0.778	1988_g_Ht	3553_g_Pb	2428_g_Pc	2421_g_Pf	2496_g_Pk	2385_g_Pv	1474_g_Py	1872_g_Tg,2389_g_Tg
8	9	0.778	2003_g_Ht	3323_g_Pb	2726_g_Pc	4399_g_Pf	2791_g_Pk	2697_g_Pv	1977_g_Py	2958_g_Tg,3639_g_Tg
8	9	0.778	2014_g_Ht	3092_g_Pb	1480_g_Pc	2084_g_Pf	1526_g_Pk	1458_g_Pv	3293_g_Py	108_g_Tg,283_g_Tg
8	9	0.778	202_g_Ht	4194_g_Pb	3753_g_Pc	3994_g_Pf	3830_g_Pk	3749_g_Pv	2953_g_Py	3122_g_Tg,3803_g_Tg
8	9	0.778	2042_g_Ht	2865_g_Pb	4437_g_Pc	2592_g_Pf	4541_g_Pk	4440_g_Pv	4015_g_Py	398_g_Tg,777_g_Tg
8	9	0.778	2065_g_Ht	360_g_Pb	3602_g_Pc	3254_g_Pf	3686_g_Pk	3687_g_Pv	3126_g_Py	2614_g_Tg,3295_g_Tg
8	9	0.778	208_g_Ht	5234_g_Pb	2262_g_Pc	2248_g_Pf	2323_g_Pk	2221_g_Pv	1314_g_Py	541_g_Tg,633_g_Tg
8	9	0.778	2095_g_Ht	1508_g_Pb	4117_g_Pc	3084_g_Pf	4215_g_Pk	4134_g_Pv	3566_g_Py	4723_g_Tg,5195_g_Tg
8	9	0.778	2105_g_Ht	3901_g_Pb	521_g_Pc	3649_g_Pf	537_g_Pk	500_g_Pv	1604_g_Py	2586_g_Tg,3267_g_Tg
8	9	0.778	210_g_Ht	2819_g_Pb	2260_g_Pc	2246_g_Pf	2321_g_Pk	2219_g_Pv	1312_g_Py	8320_g_Tg,4285_g_Tg
8	9	0.778	2110_g_Ht	3884_g_Pb	1333_g_Pc	1708_g_Pf	1379_g_Pk	1313_g_Pv	4747_g_Py	9557_g_Tg,13109_g_Tg
8	9	0.778	2132_g_Ht	547_g_Pb	4004_g_Pc	4244_g_Pf	4100_g_Pk	4006_g_Pv	2059_g_Py	59_g_Tg,332_g_Tg
8	9	0.778	2133_g_Ht	1726_g_Pb	4005_g_Pc	4245_g_Pf	4101_g_Pk	4007_g_Pv	2058_g_Py	1024_g_Tg,1841_g_Tg
8	9	0.778	2158_g_Ht	3658_g_Pb	1577_g_Pc	1595_g_Pf	1630_g_Pk	1555_g_Pv	2688_g_Py	11024_g_Tg,11821_g_Tg
8	9	0.778	2171_g_Ht	2212_g_Pb	643_g_Pc	3531_g_Pf	660_g_Pk	617_g_Pv	775_g_Py	11180_g_Tg,11977_g_Tg
8	9	0.778	2182_g_Ht	6882_g_Pb	4424_g_Pc	2579_g_Pf	4528_g_Pk	4427_g_Pv	4027_g_Py	545_g_Tg,629_g_Tg
8	9	0.778	2186_g_Ht	1712_g_Pb	970_g_Pc	303_g_Pf	1002_g_Pk	955_g_Pv	337_g_Py	10738_g_Tg,11535_g_Tg
8	9	0.778	2202_g_Ht	1134_g_Pb	4158_g_Pc	3119_g_Pf	4255_g_Pk	4173_g_Pv	3603_g_Py	7444_g_Tg,7475_g_Tg
8	9	0.778	2213_g_Ht	6600_g_Pb	1327_g_Pc	1714_g_Pf	1373_g_Pk	1307_g_Pv	4741_g_Py	11104_g_Tg,11901_g_Tg
8	9	0.778	2222_g_Ht	845_g_Pb	1739_g_Pc	1436_g_Pf	1782_g_Pk	1710_g_Pv	2533_g_Py	10956_g_Tg,11753_g_Tg
8	9	0.778	224_g_Ht	995_g_Pb	1227_g_Pc	1809_g_Pf	1273_g_Pk	1208_g_Pv	592_g_Py	10987_g_Tg,11784_g_Tg
8	9	0.778	2270_g_Ht	6800_g_Pb	4550_g_Pc	2711_g_Pf	4665_g_Pk	4559_g_Pv	3904_g_Py	10912_g_Tg,11709_g_Tg
8	9	0.778	2282_g_Ht	6998_g_Pb	138_g_Pc	4607_g_Pf	151_g_Pk	131_g_Pv	802_g_Py	936_g_Tg,1753_g_Tg
8	9	0.778	2291_g_Ht	3060_g_Pb	3567_g_Pc	3220_g_Pf	3648_g_Pk	3721_g_Pv	3161_g_Py	5702_g_Tg,6545_g_Tg
8	9	0.778	2292_g_Ht	363_g_Pb	3611_g_Pc	3262_g_Pf	3695_g_Pk	3679_g_Pv	3120_g_Py	9082_g_Tg,13582_g_Tg
8	9	0.778	2296_g_Ht	3050_g_Pb	1769_g_Pc	1406_g_Pf	1816_g_Pk	1740_g_Pv	2504_g_Py	9484_g_Tg,13182_g_Tg
8	9	0.778	2313_g_Ht	2957_g_Pb	3001_g_Pc	1183_g_Pf	3070_g_Pk	2955_g_Pv	3428_g_Py	4411_g_Tg,8426_g_Tg
8	9	0.778	232_g_Ht	3277_g_Pb	1857_g_Pc	1320_g_Pf	1899_g_Pk	1822_g_Pv	2427_g_Py	10609_g_Tg,11406_g_Tg
8	9	0.778	2350_g_Ht	3259_g_Pb	257_g_Pc	4490_g_Pf	275_g_Pk	246_g_Pv	4433_g_Py	2893_g_Tg,3574_g_Tg
8	9	0.778	2368_g_Ht	3372_g_Pb	1005_g_Pc	270_g_Pf	1039_g_Pk	987_g_Pv	368_g_Py	9799_g_Tg,12725_g_Tg
8	9	0.778	2372_g_Ht	2682_g_Pb	4113_g_Pc	3080_g_Pf	4208_g_Pk	4130_g_Pv	3562_g_Py	2557_g_Tg,3238_g_Tg
8	9	0.778	2427_g_Ht	6691_g_Pb	2883_g_Pc	5016_g_Pf	2958_g_Pk	2851_g_Pv	2753_g_Py	10602_g_Tg,11399_g_Tg
8	9	0.778	2435_g_Ht	4165_g_Pb	1753_g_Pc	1422_g_Pf	1796_g_Pk	1724_g_Pv	2519_g_Py	2772_g_Tg,3453_g_Tg
8	9	0.778	2478_g_Ht	3130_g_Pb	4025_g_Pc	4264_g_Pf	4121_g_Pk	4026_g_Pv	2037_g_Py	3044_g_Tg,3725_g_Tg
8	9	0.778	247_g_Ht	151_g_Pb	3110_g_Pc	4870_g_Pf	3176_g_Pk	3083_g_Pv	4197_g_Py	3903_g_Tg,8683_g_Tg
8	9	0.778	2495_g_Ht	2195_g_Pb	358_g_Pc	624_g_Pf	365_g_Pk	347_g_Pv	1756_g_Py	188_g_Tg,201_g_Tg
8	9	0.778	2496_g_Ht	2196_g_Pb	357_g_Pc	625_g_Pf	364_g_Pk	346_g_Pv	1757_g_Py	4621_g_Tg,5093_g_Tg
8	9	0.778	2513_g_Ht	588_g_Pb	4155_g_Pc	3116_g_Pf	4252_g_Pk	4170_g_Pv	3600_g_Py	9221_g_Tg,13444_g_Tg
8	9	0.778	2518_g_Ht	1015_g_Pb	3522_g_Pc	3172_g_Pf	3597_g_Pk	3527_g_Pv	1840_g_Py	5771_g_Tg,6477_g_Tg
8	9	0.778	2519_g_Ht	842_g_Pb	190_g_Pc	4554_g_Pf	201_g_Pk	184_g_Pv	4368_g_Py	2347_g_Tg,1914_g_Tg
8	9	0.778	2526_g_Ht	4136_g_Pb	1534_g_Pc	2135_g_Pf	1581_g_Pk	1512_g_Pv	3341_g_Py	4512_g_Tg,8527_g_Tg
8	9	0.778	2548_g_Ht	1555_g_Pb	4336_g_Pc	3795_g_Pf	4443_g_Pk	4345_g_Pv	2870_g_Py	1489_g_Tg,1149_g_Tg
8	9	0.778	2565_g_Ht	2028_g_Pb	2282_g_Pc	2270_g_Pf	2349_g_Pk	2243_g_Pv	1334_g_Py	6724_g_Tg,8185_g_Tg
8	9	0.778	2597_g_Ht	3066_g_Pb	1999_g_Pc	125_g_Pf	2040_g_Pk	1958_g_Pv	1056_g_Py	2963_g_Tg,3644_g_Tg
8	9	0.778	2619_g_Ht	7176_g_Pb	4518_g_Pc	2678_g_Pf	4631_g_Pk	4526_g_Pv	3932_g_Py	10495_g_Tg,12765_g_Tg
8	9	0.778	2622_g_Ht	6860_g_Pb	848_g_Pc	428_g_Pf	883_g_Pk	830_g_Pv	228_g_Py	10127_g_Tg,12394_g_Tg
8	9	0.778	2639_g_Ht	1351_g_Pb	3408_g_Pc	5107_g_Pf	3488_g_Pk	3391_g_Pv	4561_g_Py	8993_g_Tg,12874_g_Tg
8	9	0.778	2653_g_Ht	2892_g_Pb	1993_g_Pc	118_g_Pf	2033_g_Pk	1952_g_Pv	1050_g_Py	6056_g_Tg,6196_g_Tg
8	9	0.778	2662_g_Ht	4007_g_Pb	3131_g_Pc	4850_g_Pf	3204_g_Pk	3103_g_Pv	4175_g_Py	7271_g_Tg,7647_g_Tg
8	9	0.778	2677_g_Ht	1537_g_Pb	4397_g_Pc	3735_g_Pf	4507_g_Pk	4403_g_Pv	2811_g_Py	2000_g_Tg,2259_g_Tg
8	9	0.778	2743_g_Ht	3032_g_Pb	4359_g_Pc	3770_g_Pf	4468_g_Pk	4370_g_Pv	2844_g_Py	6756_g_Tg,8155_g_Tg
8	9	0.778	2746_g_Ht	2123_g_Pb	709_g_Pc	3462_g_Pf	734_g_Pk	687_g_Pv	84_g_Py	2861_g_Tg,3542_g_Tg
8	9	0.778	2760_g_Ht	1474_g_Pb	129_g_Pc	4615_g_Pf	142_g_Pk	122_g_Pv	810_g_Py	1027_g_Tg,1844_g_Tg
8	9	0.778	2763_g_Ht	922_g_Pb	115_g_Pc	4630_g_Pf	124_g_Pk	107_g_Pv	824_g_Py	10975_g_Tg,11772_g_Tg
8	9	0.778	2765_g_Ht	2438_g_Pb	968_g_Pc	305_g_Pf	1000_g_Pk	953_g_Pv	335_g_Py	9142_g_Tg,13524_g_Tg
8	9	0.778	2785_g_Ht	4052_g_Pb	1668_g_Pc	1508_g_Pf	1725_g_Pk	1641_g_Pv	2603_g_Py	1916_g_Tg,2345_g_Tg
8	9	0.778	279_g_Ht	3304_g_Pb	1323_g_Pc	1718_g_Pf	1369_g_Pk	1303_g_Pv	4737_g_Py	3059_g_Tg,3740_g_Tg
8	9	0.778	2805_g_Ht	5862_g_Pb	2182_g_Pc	2165_g_Pf	2238_g_Pk	2139_g_Pv	1231_g_Py	4382_g_Tg,8227_g_Tg
8	9	0.778	2817_g_Ht	3033_g_Pb	1240_g_Pc	1796_g_Pf	1286_g_Pk	1221_g_Pv	606_g_Py	10174_g_Tg,12348_g_Tg
8	9	0.778	2827_g_Ht	539_g_Pb	626_g_Pc	3545_g_Pf	642_g_Pk	600_g_Pv	4327_g_Py	2759_g_Tg,3440_g_Tg
8	9	0.778	2877_g_Ht	3003_g_Pb	2339_g_Pc	2327_g_Pf	2406_g_Pk	2298_g_Pv	1389_g_Py	4686_g_Tg,5158_g_Tg
8	9	0.778	2907_g_Ht	2074_g_Pb	146_g_Pc	4599_g_Pf	158_g_Pk	139_g_Pv	794_g_Py	4801_g_Tg,5273_g_Tg
8	9	0.778	291_g_Ht	4257_g_Pb	4532_g_Pc	2693_g_Pf	4645_g_Pk	4541_g_Pv	3921_g_Py	2840_g_Tg,3521_g_Tg
8	9	0.778	301_g_Ht	1902_g_Pb	4245_g_Pc	3884_g_Pf	4360_g_Pk	4255_g_Pv	2315_g_Py	5997_g_Tg,6254_g_Tg
8	9	0.778	3045_g_Ht	3596_g_Pb	2481_g_Pc	2475_g_Pf	2554_g_Pk	2442_g_Pv	1524_g_Py	4940_g_Tg,5412_g_Tg
8	9	0.778	3068_g_Ht	1820_g_Pb	961_g_Pc	312_g_Pf	993_g_Pk	946_g_Pv	328_g_Py	142_g_Tg,249_g_Tg
8	9	0.778	3091_g_Ht	1557_g_Pb	4547_g_Pc	2708_g_Pf	4660_g_Pk	4556_g_Pv	3907_g_Py	2_g_Tg,388_g_Tg
8	9	0.778	3117_g_Ht	3567_g_Pb	909_g_Pc	364_g_Pf	948_g_Pk	891_g_Pv	286_g_Py	10547_g_Tg,11344_g_Tg
